name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date
Tara Young,tara.young@gmail.com,2017-10-22,1,Nike, CTO,1,1,4,0.0,1,2021-11-14
Bobby Acevedo,bobby.acevedo@gmail.com,2019-02-18,0,None,None,0,0,1,1355.38,3,2022-05-01
James Payne,james.payne@gmail.com,2013-03-06,0,None,None,0,0,1,8132.27,3,2014-10-18
Heather Mooney,heather.mooney@gmail.com,2013-06-02,1,Jonhsons,Employee,0,1,2,0.0,2,2018-06-11
Joseph Anderson,joseph.anderson@gmail.com,2024-01-21,1,The Oberoi,Employee,1,1,2,0.0,2,2024-01-30
Jennifer Hall,jennifer.hall@gmail.com,2023-09-09,0,None,None,0,0,1,4517.93,1,2012-11-05
Arthur White,arthur.white@gmail.com,2018-10-16,1,Pepsi, CTO,0,1,4,0.0,1,2020-05-29
Alexandria Wilson,alexandria.wilson@gmail.com,2018-08-20,0,None,None,0,0,1,9035.86,3,2016-04-21
Ann Myers,ann.myers@gmail.com,2021-03-27,0,None,None,0,0,1,1355.38,3,2007-06-25
Justin Rose,justin.rose@gmail.com,2020-07-31,1,YCI,Employee,1,1,3,0.0,3,2021-09-08
Erik Hodges,erik.hodges@gmail.com,2019-03-29,0,None,None,0,0,1,903.59,3,2017-01-07
Austin Craig,austin.craig@gmail.com,2008-06-23,0,None,None,0,0,1,3162.55,2,2014-08-11
Melissa Roberts,melissa.roberts@gmail.com,2016-02-11,1,Cromax, CTO,0,1,2,0.0,2,2019-06-23
James Berger,james.berger@gmail.com,2021-09-14,0,None,None,0,0,1,903.59,2,2014-02-16
Brian Austin,brian.austin@gmail.com,2010-02-07,0,None,None,0,0,1,9035.86,3,2013-02-15
Sabrina Garcia,sabrina.garcia@gmail.com,2022-09-11,0,None,None,0,0,1,3162.55,2,2010-06-16
Kyle Torres,kyle.torres@gmail.com,2023-12-30,0,None,None,0,0,1,1355.38,1,2014-02-25
Andrew Miller,andrew.miller@gmail.com,2024-01-21,1,The Oberoi,Employee,0,1,1,778.0,3,2024-02-13
Patricia Padilla,patricia.padilla@gmail.com,2021-11-10,1,Amazon,CEO,0,1,2,0.0,3,2022-06-29
Edward Mckay,edward.mckay@gmail.com,2010-01-06,1,CaSa,Employee,1,1,2,0.0,3,2019-11-24
James Gill,james.gill@gmail.com,2018-10-16,1,Pepsi, CTO,0,1,1,834.0,1,2024-02-18
Nicole Harris,nicole.harris@gmail.com,2023-10-29,1,Westin,CEO,0,1,3,0.0,2,2024-02-13
Michelle Schmidt,michelle.schmidt@gmail.com,2010-07-19,0,None,None,0,0,1,903.59,1,2019-04-02
Carmen Cruz,carmen.cruz@gmail.com,2021-11-10,1,Amazon,CEO,1,1,2,0.0,3,2022-01-23
Anthony Ward,anthony.ward@gmail.com,2018-10-16,1,Pepsi,Employee,0,1,3,0.0,1,2021-04-07
Laurie White,laurie.white@gmail.com,2013-06-02,1,Jonhsons,CEO,1,1,1,282.0,2,2022-11-12
Sierra Lopez,sierra.lopez@gmail.com,2016-02-11,1,Cromax,CEO,1,1,1,1657.0,1,2024-02-15
Katie Harris,katie.harris@gmail.com,2017-10-22,1,Nike,CEO,0,1,3,0.0,2,2020-08-21
Madison Warren,madison.warren@gmail.com,2018-10-16,1,Pepsi,Employee,1,1,1,1125.0,2,2022-09-27
Lauren Strickland,lauren.strickland@gmail.com,2015-11-18,1,CBN,Employee,0,1,2,0.0,2,2023-03-19
Zachary Brooks,zachary.brooks@gmail.com,2013-06-02,1,Jonhsons, CTO,1,1,4,0.0,2,2014-01-29
Lauren Evans,lauren.evans@gmail.com,2023-04-19,0,None,None,0,0,1,1355.38,3,2017-10-19
Frederick Davis,frederick.davis@gmail.com,2013-08-21,1,Cosco, CTO,1,1,3,0.0,2,2023-04-17
Laura Weeks,laura.weeks@gmail.com,2024-01-21,1,The Oberoi, CTO,1,1,3,0.0,2,2024-03-12
William Ramirez,william.ramirez@gmail.com,2023-10-29,1,Westin,CEO,1,1,3,0.0,2,2024-02-12
Mark Taylor,mark.taylor@gmail.com,2012-11-26,1,Indigo,Employee,1,1,4,0.0,2,2014-07-02
Melanie Baker,melanie.baker@gmail.com,2024-01-21,1,The Oberoi,CEO,1,1,4,0.0,2,2024-02-14
James Scott,james.scott@gmail.com,2010-09-20,0,None,None,0,0,1,8132.27,2,2016-04-21
Mark Moses,mark.moses@gmail.com,2008-03-10,1,Hyatt,Employee,0,1,3,0.0,2,2008-12-04
Monica Turner,monica.turner@gmail.com,2018-04-26,0,None,None,0,0,1,8132.27,2,2013-04-12
Andrew Parks,andrew.parks@gmail.com,2023-02-06,1,Nasscom,Employee,0,1,1,875.0,2,2023-09-15
John Alexander,john.alexander@gmail.com,2012-05-15,0,None,None,0,0,1,9035.86,3,2012-04-30
Tammy Madden,tammy.madden@gmail.com,2020-04-04,1,Vodafone, CTO,0,1,1,621.0,1,2022-09-29
Janice Reyes,janice.reyes@gmail.com,2021-11-10,1,Amazon, CTO,0,1,2,0.0,1,2023-10-19
Carrie Garner,carrie.garner@gmail.com,2015-12-03,0,None,None,0,0,1,1807.17,2,2007-06-27
Clarence Martin,clarence.martin@gmail.com,2019-04-24,0,None,None,0,0,1,9035.86,3,2022-12-10
Lynn Howard,lynn.howard@gmail.com,2020-07-31,1,YCI,CEO,0,1,3,0.0,1,2023-10-26
Connie Brooks,connie.brooks@gmail.com,2023-10-29,1,Westin, CTO,1,1,2,0.0,1,2023-11-28
Megan Spencer,megan.spencer@gmail.com,2013-08-21,1,Cosco, CTO,0,1,2,0.0,1,2019-05-29
