name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date,donation_month
Tara Young,tara.young@gmail.com,2017-10-22,1,Nike, CTO,1,1,4,0.0,0,2021-11-14,11
Bobby Acevedo,bobby.acevedo@gmail.com,2019-02-18,0,Particular,Particular,0,0,1,1355.38,3,2022-05-01,5
James Payne,james.payne@gmail.com,2013-03-06,0,Particular,Particular,0,0,1,8132.27,3,2014-10-18,10
Heather Mooney,heather.mooney@gmail.com,2013-06-02,1,Jonhsons,Employee,0,1,2,0.0,0,2018-06-11,6
Joseph Anderson,joseph.anderson@gmail.com,2024-01-21,1,The Oberoi,Employee,1,1,2,0.0,0,2024-01-30,1
Jennifer Hall,jennifer.hall@gmail.com,2023-09-09,0,Particular,Particular,0,0,1,4517.93,1,2012-11-05,11
Arthur White,arthur.white@gmail.com,2018-10-16,1,Pepsi, CTO,0,1,4,0.0,0,2020-05-29,5
Alexandria Wilson,alexandria.wilson@gmail.com,2018-08-20,0,Particular,Particular,0,0,1,9035.86,3,2016-04-21,4
Ann Myers,ann.myers@gmail.com,2021-03-27,0,Particular,Particular,0,0,1,1355.38,3,2007-06-25,6
Justin Rose,justin.rose@gmail.com,2020-07-31,1,YCI,Employee,1,1,3,0.0,0,2021-09-08,9
Erik Hodges,erik.hodges@gmail.com,2019-03-29,0,Particular,Particular,0,0,1,903.59,3,2017-01-07,1
Austin Craig,austin.craig@gmail.com,2008-06-23,0,Particular,Particular,0,0,1,3162.55,2,2014-08-11,8
Melissa Roberts,melissa.roberts@gmail.com,2016-02-11,1,Cromax, CTO,0,1,2,0.0,0,2019-06-23,6
James Berger,james.berger@gmail.com,2021-09-14,0,Particular,Particular,0,0,1,903.59,2,2014-02-16,2
Brian Austin,brian.austin@gmail.com,2010-02-07,0,Particular,Particular,0,0,1,9035.86,3,2013-02-15,2
Sabrina Garcia,sabrina.garcia@gmail.com,2022-09-11,0,Particular,Particular,0,0,1,3162.55,2,2010-06-16,6
Kyle Torres,kyle.torres@gmail.com,2023-12-30,0,Particular,Particular,0,0,1,1355.38,1,2014-02-25,2
