name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date
Christopher May,christopher.may@gmail.com,2012-11-13,1,Pepsi,Employee,1,1,4,0,2,2015-06-03
Joseph Monroe,joseph.monroe@gmail.com,2018-07-29,1,Hyatt, CTO,0,1,3,0,2,2007-02-23
Amy West,amy.west@gmail.com,2018-01-15,0,None,None,1,1,1,15,3,2010-08-19
Nicholas Lee,nicholas.lee@gmail.com,2016-03-19,1,Indigo, CTO,0,1,2,0,3,2010-04-06
Robert Jimenez,robert.jimenez@gmail.com,2022-07-16,1,Jonhsons, CTO,1,1,1,520,3,2023-08-18
James Stein,james.stein@gmail.com,2014-07-11,1,Jonhsons, CTO,0,1,1,1024,3,2019-07-22
Derek Smith,derek.smith@gmail.com,2007-09-04,1,Nasscom,CEO,1,1,4,0,3,2012-10-02
Jesse Turner,jesse.turner@gmail.com,2008-11-12,0,None,None,1,1,1,100,3,2017-11-09
Jessica Hernandez,jessica.hernandez@gmail.com,2008-08-06,0,None,None,1,1,1,10,2,2018-06-19
Erin Brown,erin.brown@gmail.com,2013-08-28,0,None,None,1,1,1,35,3,2010-06-05
Bruce Beasley,bruce.beasley@gmail.com,2023-08-14,1,The Oberoi,CEO,0,1,4,0,3,2022-05-30
Jason Butler,jason.butler@gmail.com,2008-11-09,1,Hyatt,Employee,1,1,4,0,3,2020-03-01
Thomas Freeman,thomas.freeman@gmail.com,2013-04-19,1,CaSa,Employee,0,1,4,0,3,2022-08-08
Damon Nelson,damon.nelson@gmail.com,2013-06-06,1,Westin, CTO,0,1,4,0,3,2012-12-08
David Sanchez,david.sanchez@gmail.com,2020-06-27,0,None,None,0,0,1,90,3,2021-11-14
Jacob Black,jacob.black@gmail.com,2014-03-08,1,CBN, CTO,0,1,1,794,1,2020-02-10
Elizabeth Ellis,elizabeth.ellis@gmail.com,2008-04-02,1,Jonhsons,Employee,1,1,2,0,1,2009-04-30
David White,david.white@gmail.com,2015-01-06,0,None,None,1,1,1,10,3,2012-11-12
Brad Mathis,brad.mathis@gmail.com,2020-03-19,0,None,None,0,0,1,15,1,2010-09-03
Tara Kelly,tara.kelly@gmail.com,2022-01-23,0,None,None,0,0,1,90,3,2022-01-11
William Cox,william.cox@gmail.com,2016-12-01,0,None,None,0,0,1,90,1,2023-11-15
Jacob Santiago,jacob.santiago@gmail.com,2019-05-29,1,Jonhsons, CTO,0,1,4,0,1,2020-03-30
Denise Gutierrez,denise.gutierrez@gmail.com,2013-06-11,1,Jonhsons,Employee,1,1,3,0,1,2018-05-27
Sara Blake,sara.blake@gmail.com,2011-04-08,1,Cromax,Employee,0,1,4,0,1,2022-10-07
Joseph Roberts,joseph.roberts@gmail.com,2023-07-03,0,None,None,0,0,1,10,3,2011-02-03
Alexandra Conley,alexandra.conley@gmail.com,2023-12-28,1,CBN, CTO,0,1,1,277,3,2013-07-28
Lori Freeman,lori.freeman@gmail.com,2009-08-04,0,None,None,1,1,1,20,1,2018-09-05
Ronnie Walters,ronnie.walters@gmail.com,2020-08-16,1,Cromax,Employee,0,1,2,0,1,2008-06-05
Kristina Davis,kristina.davis@gmail.com,2015-06-17,0,None,None,1,1,1,10,2,2008-12-11
Craig Rhodes,craig.rhodes@gmail.com,2018-05-16,1,The Oberoi, CTO,0,1,2,0,2,2011-08-02
Kelly Wu,kelly.wu@gmail.com,2019-04-15,1,The Oberoi,Employee,1,1,1,1079,2,2015-04-27
Kevin Henry,kevin.henry@gmail.com,2015-07-23,1,Cosco, CTO,1,1,2,0,2,2024-03-14
Maurice Rowland,maurice.rowland@gmail.com,2010-07-09,0,None,None,0,0,1,15,2,2016-11-22
Angela Oconnell,angela.oconnell@gmail.com,2008-12-15,1,The Oberoi,Employee,0,1,4,0,2,2007-09-10
Thomas Brown,thomas.brown@gmail.com,2008-10-17,0,None,None,0,0,1,35,1,2011-09-23
Samantha Meyer,samantha.meyer@gmail.com,2008-05-25,0,None,None,1,1,1,15,1,2019-09-29
Scott Bennett,scott.bennett@gmail.com,2017-02-20,1,Pepsi,CEO,1,1,3,0,1,2015-09-28
Patrick Williams,patrick.williams@gmail.com,2011-11-27,1,Jonhsons,CEO,1,1,1,830,3,2023-10-08
Nicole Jackson,nicole.jackson@gmail.com,2011-06-18,0,None,None,0,0,1,5,1,2012-02-14
Stephanie Burch,stephanie.burch@gmail.com,2024-01-30,0,None,None,1,1,1,15,3,2009-02-22
Kelly Mcconnell,kelly.mcconnell@gmail.com,2017-02-09,1,Nasscom, CTO,1,1,1,1111,3,2023-10-13
Nicole Morris,nicole.morris@gmail.com,2017-06-10,0,None,None,1,1,1,5,1,2008-05-04
Peter Alvarado,peter.alvarado@gmail.com,2013-12-19,0,None,None,1,1,1,35,1,2019-11-25
Carol Hart,carol.hart@gmail.com,2014-05-16,1,YCI,Employee,0,1,4,0,1,2014-10-25
Michael Woods,michael.woods@gmail.com,2022-05-27,0,None,None,1,1,1,100,1,2021-11-25
Andrew Blair,andrew.blair@gmail.com,2017-11-08,1,Westin,CEO,1,1,2,0,1,2023-07-09
Tina Davis,tina.davis@gmail.com,2019-06-06,1,CBN,Employee,0,1,4,0,1,2019-05-05
Miguel Thomas,miguel.thomas@gmail.com,2022-06-10,0,None,None,1,1,1,50,2,2018-06-06
Richard Clarke,richard.clarke@gmail.com,2023-06-09,1,Nasscom,Employee,0,1,4,0,2,2011-03-31
Andrea Alvarado,andrea.alvarado@gmail.com,2013-03-18,1,Nike,Employee,1,1,3,0,2,2018-01-17
Jason Nelson,jason.nelson@gmail.com,2019-11-21,0,None,None,0,0,1,100,2,2012-07-31
Jacob Warren,jacob.warren@gmail.com,2023-10-17,0,None,None,0,0,1,1,2,2016-09-02
Melissa Taylor,melissa.taylor@gmail.com,2008-09-27,1,CaSa, CTO,0,1,3,0,2,2009-02-28
Nicholas Huff,nicholas.huff@gmail.com,2017-07-04,1,Nasscom,CEO,0,1,4,0,2,2007-02-19
David Beltran,david.beltran@gmail.com,2008-09-10,1,Westin, CTO,1,1,2,0,2,2017-04-06
Garrett Dominguez,garrett.dominguez@gmail.com,2016-10-27,0,None,None,0,0,1,35,2,2012-05-03
Crystal Salas,crystal.salas@gmail.com,2011-07-21,1,Indigo,Employee,0,1,1,1280,1,2009-09-13
Melinda Morales,melinda.morales@gmail.com,2008-04-14,1,Baxter,CEO,1,1,3,0,1,2020-12-01
Crystal Wright,crystal.wright@gmail.com,2013-04-11,0,None,None,1,1,1,1,3,2007-04-14
Stephanie Mccoy,stephanie.mccoy@gmail.com,2008-08-20,1,The Oberoi, CTO,1,1,4,0,3,2023-01-12
Jennifer Riley,jennifer.riley@gmail.com,2015-06-29,0,None,None,0,0,1,50,3,2009-07-25
Carrie Olson,carrie.olson@gmail.com,2013-03-13,0,None,None,1,1,1,70,3,2014-11-23
